gene_set,gene
positive_top100,CD38
positive_top100,WDR37
positive_top100,PCDHGA12
positive_top100,DYRK2
positive_top100,PTGFRN
positive_top100,KCTD16
positive_top100,FBXO30
positive_top100,CES2
positive_top100,IDS
positive_top100,PCDHB7
positive_top100,MFSD6
positive_top100,LONP2
positive_top100,LRCH1
positive_top100,MAVS
positive_top100,CEP68
positive_top100,PIP5K1A
positive_top100,HHIP
positive_top100,CD109
positive_top100,FBXW11
positive_top100,FAM114A1
positive_top100,HP1BP3
positive_top100,STEAP2
positive_top100,ITGA10
positive_top100,TSHZ3
positive_top100,MCFD2
positive_top100,CITED2
positive_top100,TMX4
positive_top100,ZNF778
positive_top100,SOD3
positive_top100,CHP1
positive_top100,DHCR24
positive_top100,GZF1
positive_top100,TBC1D4
positive_top100,FZD8
positive_top100,TSPAN7
positive_top100,ARSD
positive_top100,BTN3A2
positive_top100,BFAR
positive_top100,PCDHGA11
positive_top100,C2CD5
positive_top100,VWCE
positive_top100,MAN2A1
positive_top100,CXCL14
positive_top100,RIPK3
positive_top100,ELMO2
positive_top100,OSBP
positive_top100,SLC35D1
positive_top100,ZNF436
positive_top100,COG5
negative_top100,DDX46
negative_top100,OLFML3
negative_top100,ACTR5
negative_top100,CORO7
negative_top100,MASP2
negative_top100,SYDE2
negative_top100,BID
negative_top100,PDXK
negative_top100,DUS3L
negative_top100,SLC22A15
negative_top100,CPNE7
negative_top100,METTL4
negative_top100,AARSD1
negative_top100,SET
negative_top100,GPN3
negative_top100,IWS1
negative_top100,MAP7D1
negative_top100,TRAIP
negative_top100,NBL1
negative_top100,HLX
negative_top100,RND2
negative_top100,KIT
negative_top100,LIG4
negative_top100,TAF9
negative_top100,METTL3
negative_top100,PABPN1
negative_top100,EDNRB
negative_top100,ATG16L2
negative_top100,EFHD2
negative_top100,TELO2
negative_top100,CWF19L2
negative_top100,ATAD3A
negative_top100,HSPA12B
negative_top100,TSEN2
negative_top100,RAB42
negative_top100,SIPA1
negative_top100,ZNF138
negative_top100,EEF2KMT
negative_top100,PARPBP
negative_top100,MOCOS
negative_top100,SLC35C1
negative_top100,GAS2L1
negative_top100,EXT1
negative_top100,PTAFR
negative_top100,CHCHD5
negative_top100,PFKP
negative_top100,PIK3C3
negative_top100,DHRS9
negative_top100,TERT
negative_top100,BAG1
negative_top100,CNOT10
negative_top100,IFT46
negative_top100,ZBTB8OS
negative_top100,TGFBI
negative_top100,DUSP23
negative_top100,GPR89B
negative_top100,PLXDC2
negative_top100,HILPDA
negative_top100,FRA10AC1
negative_top100,CCDC57
negative_top100,PPM1G
negative_top100,TOM1
negative_top100,BCAR3
negative_top100,C1ORF52
negative_top100,TACC2
negative_top100,TTC7A
negative_top100,CARD14
negative_top100,IBSP
negative_top100,GAPDHS
negative_top100,PLPP4
negative_top100,LDLRAD1
negative_top100,FLAD1
negative_top100,ARL6IP4
negative_top100,RPAP3
negative_top100,GPR39
negative_top100,BAZ1A
negative_top100,FBXO4
negative_top100,ASGR1
negative_top100,KIFC3
negative_top100,SRSF4
negative_top100,TRMT1
negative_top100,KIF7
negative_top100,KRT10
negative_top100,CTHRC1
negative_top100,TMEM186
negative_top100,AIMP1
negative_top100,SNRPE
negative_top100,DYNLT1
negative_top100,HAUS8
negative_top100,CENPQ
negative_top100,MAST2
negative_top100,MITD1
negative_top100,RABL6
negative_top100,MFSD12
negative_top100,COL25A1
negative_top100,IKBKG
negative_top100,NUDC
negative_top100,ILKAP
negative_top100,TYK2
negative_top100,FSTL3
