program,n_studies,positive_studies,mean_raw_effect,ci_low,ci_high,exact_sign_p,exact_signflip_p,sensitivity_t_p
scRNA,7,5,0.11057397160929476,-0.025199459054691495,0.246347402273281,0.2265625,0.0546875,0.04667870557802506
spatial,7,6,0.234446192221395,0.06059510478028682,0.4082972796625032,0.0625,0.015625,0.008206257219416894
