study,program_source,n_program_genes,observed_mean_abs_effect,matched_null_mean,matched_null_sd,standardized_effect,raw_matched_effect
GSE181512,scRNA,852,1.6511862784178595,1.5017566327938625,0.03187380178629764,4.688165115221238,0.14942964562399697
GSE181512,spatial,177,1.8154635252467772,1.4798603626458788,0.08816520951788917,3.8065260031260153,0.3356031626008984
GSE193021,scRNA,1024,1.3167456828489983,1.1488256819994505,0.03483677494885379,4.820193634344237,0.16792000084954783
GSE193021,spatial,183,1.6915187451852085,1.2550566926710762,0.08994121015206294,4.852748276081777,0.4364620525141323
GSE226411,scRNA,920,1.5879046207913756,1.638833051480959,0.022164811384896975,-2.2977155007186694,-0.050928430689583415
GSE226411,spatial,164,1.7248726958671936,1.712259689469992,0.059168695566365226,0.21317026303300113,0.012613006397201643
GSE255574,scRNA,1038,1.538896980693376,1.1102809588422464,0.033405418928865234,12.83073332395085,0.4286160218511297
GSE255574,spatial,181,1.7422450570313268,1.225038324734152,0.08915264907983186,5.801361346358213,0.5172067322971747
GSE288678,scRNA,835,0.7429437210266979,0.5164522307816337,0.017258752487867048,13.123282833118349,0.2264914902450642
GSE288678,spatial,150,0.960345355721856,0.5994720192337547,0.049587306363015685,7.277534573994442,0.36087333648810127
GSE310514,scRNA,873,0.6516398038159426,0.6272098908533187,0.02871744856367479,0.850699285086409,0.024429912962623868
GSE310514,spatial,177,0.6554248031753449,0.5983455462827773,0.06175224350486935,0.9243268528060326,0.057079256892567654
GSE55867,scRNA,1115,0.4961101918965538,0.5184944697763547,0.029440751076057283,-0.7603161285516571,-0.022384277879800907
GSE55867,spatial,195,0.5072243947820403,0.44088227465562,0.05178359136022006,1.2811417359009984,0.06634212012642027
