gene,k,pooled_effect,se_hk,p_hk,tau2,I2_percent,prediction_low,prediction_high,max_weight,studies,BH_q
TAPBP,5,1.9292394438253997,0.6051599045853705,0.03328027573596907,0.0,0.0,0.24904618887738406,3.609432698773415,0.4591816289718169,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
EBF1,5,1.5025104032025411,0.49647849045259435,0.03892028191375987,0.0,0.0,0.12406512854944607,2.880955677855636,0.4200614829777236,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
GLG1,5,1.5022105309248783,0.5188741744106864,0.044333795272141194,0.0,16.981176944755113,0.06158486916878192,2.942836192680975,0.41927649602292855,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
IDS,5,1.3801021586220001,0.49235275030012104,0.048658785736149957,0.0,0.0,0.013111775020557603,2.7470925422234425,0.3091393302218188,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
ZFYVE1,5,1.1726940365774174,0.42259567115527036,0.050075082835562716,0.0,0.0,-0.0006196460794092307,2.346007719234244,0.32658855781345475,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
MEIS1,5,1.2461580362854638,0.44980739954384946,0.05030905795029109,0.0,0.0,-0.0027075164598051593,2.495023589030733,0.3126289129237145,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
FSTL3,5,-1.3342057743358056,0.48309997720178116,0.05075794159198177,0.0,0.0,-2.6755063413588562,0.007094792687245333,0.4644842237780606,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
TBC1D5,5,1.338233922282547,0.4935188360390289,0.053447853084091806,0.0,0.0,-0.03199403436092707,2.708461878926021,0.2993168022288714,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
STAT3,5,1.72834501607144,0.6621952434169066,0.05941853107021109,0.0,0.0,-0.11020372619869168,3.5668937583415716,0.3476417239722847,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
TPP1,5,1.494254896523585,0.5725942952997829,0.059443567510336796,0.0,0.0,-0.09552173192567714,3.084031524972847,0.3881926574413599,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
ZNF585B,5,1.1305935201524548,0.4339761704384275,0.059720722947674824,0.0,0.0,-0.0743174940338005,2.3355045343387104,0.27781273519875677,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
CD99L2,5,1.1890231113590637,0.4657696433279911,0.0631168311124457,0.0,0.0,-0.1041607350086593,2.4822069577267865,0.3110968606506806,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
WDR26,5,1.124776877034735,0.448854948824216,0.06634846230279036,0.0,0.0,-0.12144424857206548,2.3709980026415356,0.4153640517917919,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
R3HDM2,5,1.0310909137488329,0.4140796856398592,0.06747875897655041,0.0,0.0,-0.11857860260779529,2.180760430105461,0.3672497425183034,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
MTHFR,5,1.271441241332635,0.5125276274931024,0.0681579778117115,0.0,0.0,-0.1515635812992273,2.6944460639644974,0.5718751313517857,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
PSMG1,5,-1.1876274968230838,0.48132965020094465,0.06914031154570789,0.0,0.0,-2.5240128481100625,0.148757854463895,0.4072312242726154,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
ERMP1,5,1.3813317544429522,0.5608430923025632,0.06947037251253686,0.3624560023953956,19.56964623900144,-0.9031291957411571,3.6657927046270613,0.41470989155487986,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
