cohort,shared_genes,allocations,abs_rho,abs_exact_one_sided_p,signed_rho,signed_exact_two_sided_p,signature_difference,signature_exact_two_sided_p,signature_up,signature_down
GSE156508,11877,924,0.02251092618061813,0.1038961038961039,0.06128866822115598,0.5281385281385281,0.016290610291434915,0.2012987012987013,85,80
GSE35958,11783,126,0.020560219785762137,0.0873015873015873,0.09818847666408902,0.16666666666666666,0.060319884544617036,0.007936507936507936,93,89
GSE230665,11193,455,-0.020065372485038282,0.9208791208791208,0.01941309668968868,0.8791208791208791,-0.012478635933027032,0.4901098901098901,91,90
