comparison,n_genes,spearman_rho,p,BH_q
logFC_high_low,11761,-0.015777139280917105,0.08709475657813923,0.26128426973441765
logFC_Proli_high_low,11761,-0.011528098845551919,0.21125952045661223,0.31688928068491834
logFC_siITGA11_siCTR,11761,-0.008691519580668012,0.345938356745418,0.345938356745418
