comparison,n_positive,n_negative,directional_score,null_sd,permutation_p,BH_q
logFC_high_low,93,86,-0.09340779051660648,0.059725438556675725,0.11689415529223539,0.35068246587670615
logFC_Proli_high_low,93,86,-0.07135206224683029,0.06673638012679828,0.28128593570321486,0.42192890355482227
logFC_siITGA11_siCTR,93,86,0.013395807794140277,0.06480692614307028,0.8368081595920204,0.8368081595920204
